match_key,item_key,item_position
1,1055,0
1,3153,1
1,3006,2
1,6672,3
1,3033,4
1,2055,5
1,3340,6
2,3153,0
2,1053,1
2,3033,2
2,3006,3
2,1037,4
2,3340,6
3,1054,0
3,3153,1
3,3086,2
3,3006,3
3,3144,4
3,3340,6
4,1056,0
4,3070,1
4,2031,3
4,1052,4
4,3340,6
5,1056,0
5,3070,1
5,6653,2
5,3020,3
5,3116,4
5,3916,5
5,3340,6
6,1054,0
6,2055,2
6,1042,3
6,3087,4
6,3006,5
6,3340,6
7,3157,0
7,3135,1
7,3020,2
7,6653,3
7,3116,4
7,3916,5
7,3340,6
8,3077,0
8,1053,1
8,3153,2
8,3124,3
8,2022,4
8,3006,5
8,3340,6
9,1056,0
9,3070,1
9,6655,2
9,3020,3
9,3089,4
9,4630,5
9,3364,6
10,1056,0
10,3135,1
10,6653,2
10,3020,3
10,3116,4
10,3916,5
10,3340,6
11,3135,0
11,6653,2
11,3020,3
11,3116,4
11,3916,5
11,3340,6
12,3135,0
12,3070,1
12,6653,2
12,3020,3
12,3116,4
12,3916,5
12,3340,6
13,1056,0
13,2003,1
13,3340,6
14,6631,0
14,3143,1
14,3078,2
14,3068,3
14,3047,4
14,3076,5
14,3340,6
15,1056,0
15,3340,6
16,3077,0
16,3143,1
16,3047,2
16,3076,3
16,3078,4
16,3340,6
17,1056,0
17,6655,1
17,3070,2
17,3145,3
17,3020,4
17,3340,6
18,3089,0
18,3116,1
18,6653,2
18,3135,3
18,3020,4
18,3916,5
18,3340,6
19,1056,0
19,3070,1
19,6653,2
19,3020,3
19,3340,6
20,1053,0
20,3153,1
20,6672,2
20,3006,3
20,3033,4
20,2055,5
20,3340,6
21,3916,0
21,3116,1
21,6653,2
21,3135,3
21,1058,4
21,3020,5
21,3340,6
22,3877,0
22,3070,1
22,4401,2
22,3076,3
22,3047,4
22,3066,5
22,3340,6
23,4630,0
23,3116,1
23,1056,2
23,6653,3
23,3020,4
23,3916,5
23,3340,6
24,3077,0
24,3140,1
24,3142,2
24,3009,3
24,3066,4
24,1031,5
24,3364,6
25,3116,0
25,3916,1
25,3135,2
25,6653,3
25,3020,4
25,1058,5
25,3340,6
26,3116,0
26,6653,1
26,3916,2
26,3020,3
26,3135,4
26,3089,5
26,3364,6
27,3116,0
27,3135,1
27,6653,2
27,3020,3
27,3916,4
27,1058,5
27,3340,6
28,3157,0
28,3116,1
28,3916,2
28,6653,3
28,3020,4
28,3135,5
28,3340,6
29,3116,0
29,3089,1
29,6653,2
29,3020,3
29,3135,4
29,3916,5
29,3340,6
30,3135,0
30,1058,1
30,6653,2
30,3020,3
30,3116,4
30,3916,5
30,3340,6
31,4630,0
31,6653,1
31,3020,2
31,3070,3
31,3116,4
31,3916,5
31,3340,6
32,3135,0
32,3089,1
32,6653,2
32,3020,3
32,3116,4
32,3916,5
32,3340,6
33,3871,0
33,2055,1
33,6653,2
33,3070,3
33,3020,4
33,3916,5
33,3364,6
34,1058,0
