match_key,puuid,summoner_name,riot_id_game_name,riot_id_tag_line,champion_id,champion_name,team_id,team_position,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,vision_score,control_wards_purchased,kill_participation,champion_level,items
1,u5UY1tv8mZ9TyGNLbbG3ZXmqpPr-xMa09qucuD0zcMRcEhIXWx0sxItutet1TJb-CxlYz_V1JhIvfw,FazePhantomGuy,FazePhantomGuy,,110,Varus,100,TOP,1,9,6,3,2.0,169,6.89,10461,426.4,28335,1154.96,17,0,0.308,14,"[1055, 3302, 3153, 1031, 1057, 0, 3340]"
1,kU2HkfZGJfiFs69oeNXxaZXPiGEE4681r3snVtiJ_nQNQ73rJuKTigd2kUmxLuda2X3oUtygMRh_Hg,TheShinyZard,zard,,141,Kayn,100,JUNGLE,1,8,3,10,6.0,166,6.77,11729,478.08,19924,812.12,7,0,0.462,14,"[6696, 3142, 3158, 6701, 1036, 1036, 3340]"
1,_8OE-5YLnPec4JC1wQFeZQptbdwNEq2HBNEMZPSXZtEmZaDYfJUvRQoGeqbAGZGNZbJ6N5Qr1yvWRg,Acerth,Acerth,,112,Viktor,100,MIDDLE,1,8,4,7,3.75,170,6.93,11089,452.0,29776,1213.7,13,0,0.385,14,"[2420, 2031, 2503, 3020, 0, 6653, 3340]"
1,ihmyWUBOo4pt7rzpE7BNmbehM2CGpgcoD0cu6dl0I2tiWJ3iHX3NyAC65kq8Cpq9wYOQQbe_sCeftw,Ah yes oops,Malzahar,,18,Tristana,100,BOTTOM,1,11,5,3,2.8,173,7.05,11496,468.59,15488,631.3,23,4,0.359,13,"[1055, 3153, 3006, 6672, 3033, 2055, 3340]"
1,n2gdntweb253OMAl1N7tCEjHt3EHV-xzvSYZwwMAMyeX80OcDuZBRYM4DKOK-CTw6YnHJLBkLZ2Z6A,Bronzeflamee,Bronzeflamee,,147,Seraphine,100,UTILITY,1,3,1,12,15.0,36,1.47,7354,299.76,7135,290.83,37,0,0.385,11,"[3870, 6620, 2010, 3158, 6617, 1052, 3364]"
1,8X_0gaaLn2kaRDimku7rlEshQlGNLIt2wEwmh1EYuPok9oltXM7ZCwqE0HRkudXgdwimUNmOp9_dPg,Stellavirgin16,Stellavirgin16,,75,Nasus,200,TOP,0,3,8,4,0.88,147,5.99,9393,382.87,10261,418.25,6,0,0.368,13,"[1054, 3158, 3078, 3065, 2150, 3024, 3340]"
1,KmOLRp5o5NVq5MgoRVG2qGB9G0Ky8LZnD15IJ-ZeSPBQktCLGUnIHcHFdDTk-W_U9Xtfbhav1jxrVw,Fire Fist Ãce,Lucid,,35,Shaco,200,JUNGLE,0,3,6,3,1.0,122,4.97,8069,328.9,7176,292.5,19,1,0.316,12,"[6699, 6698, 3006, 0, 0, 0, 3363]"
1,wKPL7XKOLQZmKVlfcW1mrXm-EjZYEwMjIVe9cz0sTLycPT28hFp5q67encP67xkaCDkW3XkfsXU0wQ,Śabo,SavageKronos,,166,Akshan,200,MIDDLE,0,7,8,4,1.38,113,4.61,9889,403.08,19594,798.67,20,2,0.579,13,"[2055, 6672, 3006, 1038, 1036, 3153, 3340]"
1,pjtWOB_hnpUJqSqdYDDvSZeNle_PY-i68IYcX346lQsOl14TNqXxSwaQKFSYxy7JDIXAjLh9G0L41g,AngrySCV,Abomination,,74,Heimerdinger,200,BOTTOM,0,4,6,0,0.67,139,5.67,8255,336.48,16353,666.56,19,6,0.211,13,"[6653, 3020, 2055, 3802, 2508, 0, 3363]"
1,TTqPLk62E7R7fNOb7cJ_5O-vqsxEn6KTZQxQxdZ4Y5vbCkGc9AUvcz2WorqQV4gv1XnOK-d7FwnJQw,luhrodman,luhrodman,,32,Amumu,200,UTILITY,0,2,12,7,0.75,8,0.33,6836,278.64,9248,376.96,39,0,0.474,10,"[3084, 3047, 3801, 3871, 2031, 3066, 3340]"
2,0tMLqiz8IODF0I9Uxuz6qVBTl2dMyayZT0OSk3nEBtGV2RgFFdBMNdUrbhNnVXS90wcAXKVps2EQ9g,The Virtuos0,The Virtuos0,,54,Malphite,100,TOP,1,6,6,14,3.33,218,5.33,15271,373.07,38160,932.25,25,0,0.513,18,"[6662, 3068, 3047, 2504, 6665, 3076, 3340]"
2,ITxMF1YHqQHcOUTo9VONVDxPacIqsotf43Sj7xF6xEo6kQi8j8wSdYf6xVmjr3cqujuMqpO2Q63_3w,CEB09,fundamentalsPHD,,11,MasterYi,100,JUNGLE,1,4,10,6,1.0,290,7.08,15551,379.91,24866,607.48,31,0,0.256,18,"[3077, 3124, 3091, 6333, 3006, 3153, 3340]"
