champion_key,champion_id,champion_name,role,icon_url
1,18,Tristana,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Tristana.png
2,15,Sivir,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Sivir.png
3,90,Malzahar,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Malzahar.png
4,22,Ashe,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Ashe.png
5,11,MasterYi,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/MasterYi.png
6,103,Ahri,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Ahri.png
7,98,Shen,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Shen.png
8,54,Malphite,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Malphite.png
9,412,Thresh,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Thresh.png
10,950,Naafiri,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Naafiri.png
11,143,Zyra,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Zyra.png
12,111,Nautilus,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Nautilus.png
13,27,Singed,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Singed.png
14,53,Blitzcrank,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Blitzcrank.png
15,223,TahmKench,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/TahmKench.png
16,222,Jinx,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Jinx.png
17,7,Leblanc,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Leblanc.png
18,800,Mel,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Mel.png
19,157,Yasuo,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Yasuo.png
20,4,TwistedFate,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/TwistedFate.png
21,83,Yorick,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Yorick.png
22,33,Rammus,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Rammus.png
23,24,Jax,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Jax.png
24,164,Camille,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Camille.png
25,133,Quinn,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Quinn.png
26,20,Nunu,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Nunu.png
27,50,Swain,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Swain.png
28,21,MissFortune,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/MissFortune.png
29,23,Tryndamere,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Tryndamere.png
