date_key,full_date,year,month,day,day_of_week,is_weekend,hour_of_day
1,2024-08-31,2024,8,31,Saturday,1,17
2,2024-08-30,2024,8,30,Friday,0,21
3,2024-08-26,2024,8,26,Monday,0,18
4,2024-08-25,2024,8,25,Sunday,1,18
5,2024-08-24,2024,8,24,Saturday,1,21
6,2024-08-23,2024,8,23,Friday,0,19
7,2024-08-18,2024,8,18,Sunday,1,19
8,2024-09-20,2024,9,20,Friday,0,21
9,2024-09-13,2024,9,13,Friday,0,22
10,2024-09-01,2024,9,1,Sunday,1,12
11,2024-09-29,2024,9,29,Sunday,1,14
12,2024-09-28,2024,9,28,Saturday,1,20
13,2024-09-27,2024,9,27,Friday,0,19
14,2024-09-21,2024,9,21,Saturday,1,13
15,2024-09-18,2024,9,18,Wednesday,0,16
16,2024-09-14,2024,9,14,Saturday,1,14
17,2024-10-27,2024,10,27,Sunday,1,13
18,2024-10-26,2024,10,26,Saturday,1,17
19,2024-10-25,2024,10,25,Friday,0,20
20,2024-10-19,2024,10,19,Saturday,1,23
21,2024-10-18,2024,10,18,Friday,0,20
22,2024-10-04,2024,10,4,Friday,0,19
23,2024-11-23,2024,11,23,Saturday,1,22
24,2024-12-15,2024,12,15,Sunday,1,16
25,2024-12-14,2024,12,14,Saturday,1,20
26,2024-12-13,2024,12,13,Friday,0,21
27,2024-12-07,2024,12,7,Saturday,1,18
28,2024-12-06,2024,12,6,Friday,0,23
29,2025-01-03,2025,1,3,Friday,0,16
30,2025-03-29,2025,3,29,Saturday,1,17
31,2025-03-05,2025,3,5,Wednesday,0,17
32,2025-03-01,2025,3,1,Saturday,1,19
33,2025-04-15,2025,4,15,Tuesday,0,17
34,2025-04-06,2025,4,6,Sunday,1,17
35,2025-04-18,2025,4,18,Friday,0,19
36,2025-05-25,2025,5,25,Sunday,1,18
37,2025-05-23,2025,5,23,Friday,0,18
38,2025-05-22,2025,5,22,Thursday,0,18
39,2025-05-18,2025,5,18,Sunday,1,18
40,2025-05-10,2025,5,10,Saturday,1,22
41,2025-05-09,2025,5,9,Friday,0,18
42,2025-06-29,2025,6,29,Sunday,1,14
43,2025-06-20,2025,6,20,Friday,0,18
44,2025-06-18,2025,6,18,Wednesday,0,20
45,2025-06-16,2025,6,16,Monday,0,19
46,2025-06-14,2025,6,14,Saturday,1,20
47,2025-06-07,2025,6,7,Saturday,1,20
48,2025-06-05,2025,6,5,Thursday,0,18
49,2025-06-03,2025,6,3,Tuesday,0,17
50,2025-07-11,2025,7,11,Friday,0,20
51,2025-07-05,2025,7,5,Saturday,1,21
52,2025-07-04,2025,7,4,Friday,0,16
53,2025-07-03,2025,7,3,Thursday,0,19
54,2025-08-30,2025,8,30,Saturday,1,19
55,2025-08-29,2025,8,29,Friday,0,20
56,2025-08-23,2025,8,23,Saturday,1,16
57,2025-08-22,2025,8,22,Friday,0,19
58,2025-08-17,2025,8,17,Sunday,1,18
59,2025-08-15,2025,8,15,Friday,0,17
60,2025-08-13,2025,8,13,Wednesday,0,17
61,2025-08-09,2025,8,9,Saturday,1,15
62,2025-08-08,2025,8,8,Friday,0,21
63,2025-09-30,2025,9,30,Tuesday,0,17
64,2025-09-29,2025,9,29,Monday,0,17
65,2025-09-28,2025,9,28,Sunday,1,16
66,2025-09-27,2025,9,27,Saturday,1,15
67,2025-09-26,2025,9,26,Friday,0,23
68,2025-09-25,2025,9,25,Thursday,0,18
69,2025-09-24,2025,9,24,Wednesday,0,18
70,2025-09-23,2025,9,23,Tuesday,0,17
71,2025-09-20,2025,9,20,Saturday,1,18
72,2025-09-19,2025,9,19,Friday,0,21
73,2025-09-14,2025,9,14,Sunday,1,19
74,2025-09-12,2025,9,12,Friday,0,20
75,2025-09-11,2025,9,11,Thursday,0,18
76,2025-09-10,2025,9,10,Wednesday,0,18
77,2025-09-09,2025,9,9,Tuesday,0,19
78,2025-09-06,2025,9,6,Saturday,1,15
79,2025-09-05,2025,9,5,Friday,0,19
80,2025-09-03,2025,9,3,Wednesday,0,19
81,2025-09-01,2025,9,1,Monday,0,18
82,2025-08-31,2025,8,31,Sunday,1,19
83,2025-10-31,2025,10,31,Friday,0,17
84,2025-10-30,2025,10,30,Thursday,0,18
85,2025-10-29,2025,10,29,Wednesday,0,19
86,2025-10-28,2025,10,28,Tuesday,0,19
87,2025-10-26,2025,10,26,Sunday,1,16
88,2025-10-25,2025,10,25,Saturday,1,16
89,2025-10-24,2025,10,24,Friday,0,20
90,2025-10-23,2025,10,23,Thursday,0,17
91,2025-10-22,2025,10,22,Wednesday,0,17
92,2025-10-21,2025,10,21,Tuesday,0,18
93,2025-10-20,2025,10,20,Monday,0,16
94,2025-10-19,2025,10,19,Sunday,1,20
95,2025-10-18,2025,10,18,Saturday,1,17
96,2025-10-17,2025,10,17,Friday,0,23
97,2025-10-16,2025,10,16,Thursday,0,18
98,2025-10-15,2025,10,15,Wednesday,0,18
99,2025-10-14,2025,10,14,Tuesday,0,18
100,2025-10-12,2025,10,12,Sunday,1,19
101,2025-10-11,2025,10,11,Saturday,1,21
102,2025-10-10,2025,10,10,Friday,0,19
103,2025-10-09,2025,10,9,Thursday,0,18
104,2025-10-07,2025,10,7,Tuesday,0,19
105,2025-10-05,2025,10,5,Sunday,1,13
106,2025-10-04,2025,10,4,Saturday,1,22
107,2025-10-03,2025,10,3,Friday,0,23
108,2025-10-02,2025,10,2,Thursday,0,18
109,2025-10-01,2025,10,1,Wednesday,0,18
110,2025-11-01,2025,11,1,Saturday,1,16
