match_key,champion_key,date_key,queue_key,rune_key,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,damage_taken,vision_score,wards_placed,wards_killed,control_wards_purchased,kill_participation,double_kills,triple_kills,quadra_kills,penta_kills,game_duration_minutes
1,1,1,1,1,1,11,5,3,2.8,173,7.05,11496,468.59,15488,631.3,15391,23,9,2,4,0.359,1,0,0,0,24.53
2,2,2,1,2,0,2,11,3,0.45,227,5.55,12276,299.9,13905,339.7,31264,39,16,4,2,0.156,0,0,0,0,40.93
3,1,2,1,3,0,1,7,2,0.43,142,5.68,7275,291.0,7592,303.68,21377,13,8,1,0,0.25,0,0,0,0,25.0
4,3,3,1,4,1,0,0,1,1.0,48,6.86,2265,323.57,2074,296.29,1274,5,3,2,1,0.25,0,0,0,0,7.0
5,3,3,1,5,1,8,2,4,6.0,187,8.34,10992,489.99,15301,682.07,8253,21,12,1,5,0.414,0,0,0,0,22.43
6,4,4,1,6,0,1,5,1,0.4,102,5.71,5201,291.1,4777,267.37,7728,9,6,0,2,0.182,0,0,0,0,17.87
7,3,4,1,7,0,8,6,15,3.83,250,6.91,15989,441.89,37144,1026.55,29471,26,14,1,3,0.511,1,0,0,0,36.18
8,5,4,1,8,0,4,9,7,1.22,161,4.73,10513,308.9,28989,851.78,36167,20,10,4,0,0.44,0,0,0,0,34.03
9,6,4,1,9,0,3,7,13,2.29,185,5.09,10643,292.79,21015,578.13,30760,20,6,6,3,0.593,0,0,0,0,36.35
10,3,4,1,10,1,12,1,4,16.0,257,8.55,14864,494.64,35394,1177.84,15737,17,9,0,1,0.593,1,0,0,0,30.05
11,3,4,1,11,0,3,5,3,1.2,246,7.75,12028,379.03,28247,890.14,17521,23,9,0,1,0.375,0,0,0,0,31.73
12,3,5,1,12,0,5,6,3,1.33,193,6.23,11463,369.77,26778,863.81,20128,26,14,2,3,0.333,1,0,0,0,31.0
13,3,5,1,13,0,0,0,0,0.0,0,0.0,500,275.23,0,0.0,0,0,1,0,0,0,0,0,0,0,1.82
