match_key,puuid,summoner_name,riot_id_game_name,riot_id_tag_line,champion_id,champion_name,team_id,team_position,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,vision_score,control_wards_purchased,kill_participation,champion_level,items
1,zF_vN9AZJLelQhnou_XFa_DMH3Z5gvoGl-h7Cxw6qXvXCvnswFPA70RMgT01VBWue_5_2thX2lqLBw,Team diff 96,Hotdogwater,,98,Shen,100,TOP,1,1,2,9,5.0,125,4.81,7612,292.96,8711,335.25,9,0,0.256,14,"[1054, 3084, 3077, 3047, 1028, 1031, 3340]"
1,xzWQfnhMmOi3uvObXDOz-rRLkqI_YkGTl0uHnB1Q0h0rGKjoD7fNsd5YoxI5mAZ9YTWXNrGYLVfsuQ,badmotofinger,spice11,,131,Diana,100,JUNGLE,1,4,4,6,2.5,154,5.93,9295,357.73,9407,362.04,25,1,0.256,13,"[3152, 4646, 3020, 0, 0, 0, 3364]"
1,4WA8lBIdeySRmSVygmfOCW4X7nJ_Fj9FGkW6M_XQgzhZvmQY2W5OWeL1t20njjly8DkpfhTQLGK4Bw,MonikerJ,MonikerJ,,112,Viktor,100,MIDDLE,1,5,4,5,2.5,180,6.93,10438,401.72,15584,599.77,17,2,0.256,15,"[6655, 3020, 4646, 1058, 1058, 0, 3340]"
1,XQgaKVL2uRGPzy81BTfaEJiA6M_XCR2brjiWYl0FC6vM7s40V652TU8FtYLiFEHHok_-W_jZ_H2Omw,thedeathskull,thedeathskull,,67,Vayne,100,BOTTOM,1,19,7,12,4.43,161,6.2,15635,601.73,40483,1558.04,18,0,0.795,15,"[1055, 6672, 3006, 3302, 3046, 3153, 3340]"
1,WD6ZyrInHL8CLl6qbLbleYEOTvhfv859-LN6rS_rBcU6_a3-OFGsg-vwUwlNwMEdelJ1-Y22a-fqzg,Nautìlus,Nautìlus,,143,Zyra,100,UTILITY,1,10,2,15,12.5,64,2.46,11641,448.02,22420,862.86,35,4,0.641,14,"[3871, 6653, 3020, 3916, 3135, 3116, 3364]"
1,QfKtpYVdIHCGTy5yWVp-kyG7gN8BIPZ5fZgHfP5aJ5XKUd7nXxG41eZk8XnIZsEkfllY4-RQd-P36Q,Xionoo,Xionoo,,48,Trundle,200,TOP,0,4,5,1,1.0,157,6.04,9028,347.45,14670,564.59,12,0,0.263,14,"[1055, 3078, 3047, 3181, 0, 0, 3340]"
1,54UYr1qEXKe9_DCeZgf-Z4JyLMYnHaMDK459QWgKU4G8v77A-KH0RGDrF4IPraOKNQd-Sd52xOpuMQ,LoliPlagueDoctor,PlagueDoctorTox,,57,Maokai,200,JUNGLE,0,2,9,7,1.0,125,4.81,8722,335.68,11821,454.95,13,0,0.474,12,"[3075, 6664, 3047, 1031, 1033, 0, 3340]"
1,g89Gyz4zbTJp7daFWXodlcSCYC_3Bo5xWUf40T6B83eg3mzwaxUl4feg5sOvmm10OUPW_S1zIRqdDw,KoNekoBoo,KoNekoBoo,,950,Naafiri,200,MIDDLE,0,4,6,4,1.33,154,5.93,9940,382.55,10700,411.8,19,1,0.421,14,"[6698, 6699, 3155, 3047, 0, 1055, 3340]"
1,CGlhcF1MpvPbgqgVR1MJ9AGMvlLyj4_nNaltif39V1zk0vLuFJpQmcr6YlTT707Md1FehPR5tE5YxA,the gewginator,the gewginator,,360,Samira,200,BOTTOM,0,1,10,5,0.6,118,4.54,7973,306.85,5685,218.79,19,1,0.316,12,"[1038, 1037, 3006, 6676, 1018, 1055, 3340]"
1,boayLB0j74-n8nzIDvekqHxFPN-G8OjWCQydvEVrqosPtwGrU4Txy_Lum7r1WkwLh-wr523iHri-fw,ItzPeaches,ItzPeaches,,555,Pyke,200,UTILITY,0,8,9,4,1.33,34,1.31,10818,416.34,13172,506.94,32,0,0.632,12,"[3877, 3179, 3117, 6697, 6699, 1036, 3364]"
