champion_key,champion_id,champion_name,role,icon_url
1,143,Zyra,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Zyra.png
2,235,Senna,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Senna.png
3,111,Nautilus,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Nautilus.png
4,25,Morgana,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Morgana.png
5,53,Blitzcrank,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Blitzcrank.png
6,11,MasterYi,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/MasterYi.png
7,223,TahmKench,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/TahmKench.png
8,20,Nunu,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Nunu.png
9,350,Yuumi,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Yuumi.png
10,83,Yorick,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Yorick.png
11,412,Thresh,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Thresh.png
12,14,Sion,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Sion.png
13,90,Malzahar,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Malzahar.png
14,157,Yasuo,Unknown,https://ddragon.leagueoflegends.com/cdn/15.2.1/img/champion/Yasuo.png
