date_key,full_date,year,month,day,day_of_week,is_weekend,hour_of_day
1,2024-01-18,2024,1,18,Thursday,0,16
2,2024-01-17,2024,1,17,Wednesday,0,18
3,2024-01-16,2024,1,16,Tuesday,0,16
4,2024-01-15,2024,1,15,Monday,0,17
5,2024-01-12,2024,1,12,Friday,0,21
6,2024-03-29,2024,3,29,Friday,0,17
7,2024-10-28,2024,10,28,Monday,0,17
8,2024-10-27,2024,10,27,Sunday,1,14
9,2024-10-03,2024,10,3,Thursday,0,16
10,2024-11-03,2024,11,3,Sunday,1,11
11,2024-12-09,2024,12,9,Monday,0,17
12,2024-12-08,2024,12,8,Sunday,1,18
13,2024-12-07,2024,12,7,Saturday,1,19
14,2025-09-16,2025,9,16,Tuesday,0,19
15,2025-09-15,2025,9,15,Monday,0,16
16,2025-09-14,2025,9,14,Sunday,1,17
17,2025-09-13,2025,9,13,Saturday,1,16
