match_key,item_key,item_position
1,3876,0
1,3084,1
1,3009,2
1,3076,3
1,3340,6
2,1056,0
2,6653,1
2,3070,2
2,3020,3
2,3116,4
2,3916,5
2,3340,6
3,3116,0
3,3009,1
3,3118,2
3,3340,6
4,1102,0
4,2003,1
4,3340,6
5,3153,0
5,3072,1
5,3009,3
5,3123,4
5,3087,5
5,3340,6
6,3876,0
6,3009,1
6,3084,2
6,3076,3
6,1028,4
6,2055,5
6,3340,6
7,3876,0
7,3143,1
7,3211,2
7,3076,3
7,3084,4
7,3009,5
7,3364,6
8,3876,0
8,3084,1
8,1029,2
8,3009,3
8,2055,4
8,3364,6
9,3876,0
9,3076,1
9,3084,2
9,3047,3
9,1057,4
9,3066,5
9,3364,6
10,3876,0
10,3010,1
10,3742,4
10,3340,6
11,3876,0
11,1057,1
11,3742,2
11,3066,3
11,3009,4
11,3076,5
11,3364,6
12,3876,0
12,4401,1
12,3742,2
12,3066,3
12,3076,4
12,3170,5
12,3364,6
13,3871,0
13,3135,1
13,3020,2
13,6653,3
13,3116,4
13,3916,5
13,3364,6
14,3876,0
14,1033,1
14,2055,2
14,3742,3
14,3009,4
14,3066,5
14,3340,6
15,3871,0
15,3135,1
15,3020,2
15,6653,3
15,3116,4
15,3165,5
15,3364,6
16,3876,0
16,3084,1
16,3076,2
16,3009,3
16,6660,4
16,2055,5
16,3364,6
17,3876,0
17,3084,1
17,3009,2
17,3075,3
17,3065,4
17,3066,5
17,3340,6
18,3871,0
18,3020,1
18,6653,2
18,3211,3
18,3116,4
18,3067,5
18,3363,6
19,3876,0
19,3801,1
19,1001,2
19,1011,3
19,1011,4
19,3364,6
20,3876,0
20,3170,1
20,3076,2
20,1028,3
20,4633,4
20,3364,6
21,3876,0
21,3084,1
21,3170,2
21,3076,3
21,3065,4
21,3105,5
21,3364,6
22,3876,0
22,3084,1
22,3009,2
22,3076,3
22,3065,4
22,3105,5
22,3364,6
23,3871,0
23,1026,1
23,3020,2
23,3070,3
23,6653,4
23,3916,5
23,3364,6
24,3876,0
24,3066,1
24,3009,2
24,3076,3
24,3084,4
24,1029,5
24,3364,6
25,1058,0
25,3070,1
25,6653,2
25,3020,3
25,3116,4
25,3916,5
25,3340,6
26,6653,0
26,3070,1
26,3175,2
26,3916,3
26,3116,4
26,4630,5
26,3340,6
27,3876,0
27,3084,1
27,3075,2
27,3009,3
27,1033,4
27,1028,5
27,3364,6
28,3135,0
28,6653,1
28,3175,2
28,3116,3
28,3070,4
28,3340,6
29,3876,0
29,3009,1
29,3084,2
29,2055,3
29,3076,4
29,3065,5
29,3364,6
30,3135,0
30,3089,1
30,6653,2
30,3020,3
30,3116,4
30,3916,5
30,3364,6
31,3035,0
31,3006,1
31,3087,2
31,3153,3
31,3123,4
31,3340,6
32,3869,0
32,3084,1
32,3076,2
32,3170,3
32,3066,4
32,1028,5
32,3364,6
33,3876,0
33,3084,1
33,3009,2
33,3075,3
33,1028,4
33,3364,6
34,3869,0
34,3084,1
34,3009,2
34,3076,3
34,2055,4
34,3364,6
35,3871,0
35,3070,1
35,6653,2
35,3020,3
35,2003,5
35,3364,6
36,3876,0
36,3047,1
36,4401,2
36,3742,3
36,2055,4
36,3075,5
36,3364,6
37,3871,0
37,6653,1
37,3116,2
37,3020,3
37,3364,6
38,3876,0
38,3009,1
38,3076,2
38,3084,3
38,1033,4
38,1011,5
38,3364,6
39,3876,0
39,3084,1
39,3009,2
39,3076,3
39,3068,4
39,3364,6
40,3742,0
40,3084,1
40,3009,2
40,2502,3
40,3065,4
40,3075,5
40,3340,6
41,3876,0
41,3009,1
41,3065,2
41,3084,3
41,3076,4
41,4401,5
41,3364,6
42,3876,0
42,3009,1
42,3084,2
42,3065,3
42,3076,4
42,1031,5
42,3364,6
43,3865,0
43,2003,1
43,3340,6
44,1054,0
44,3211,1
44,3084,2
44,3009,3
44,3067,5
44,3340,6
45,3876,0
45,3084,1
45,3075,2
45,3009,3
45,3066,4
45,3065,5
45,3364,6
46,3876,0
46,3084,1
46,3009,2
46,3076,3
46,3065,4
46,3067,5
46,3364,6
47,3876,0
47,2031,1
47,2055,2
47,1001,4
47,3084,5
47,3364,6
48,3871,0
48,3116,1
48,3020,2
48,6653,3
48,3916,4
48,3364,6
49,3876,0
49,1001,1
49,2055,2
49,1028,3
49,1028,4
49,3801,5
49,3364,6
50,3865,0
50,2003,1
50,3340,6
51,3871,0
51,3916,1
51,3020,2
51,3135,3
51,6653,4
51,1026,5
51,3364,6
52,1055,0
52,3032,1
52,3134,2
52,1001,3
52,3340,6
53,3871,0
53,3070,1
53,6655,2
53,3147,3
53,3020,5
53,3340,6
54,3877,0
54,6665,1
54,3211,2
54,3084,3
54,3047,4
54,1028,5
54,3364,6
55,1055,0
55,3032,1
55,3006,2
55,3031,3
55,3033,4
55,1036,5
55,3340,6
56,3157,0
56,3020,1
56,1058,2
56,1058,3
56,6655,4
56,4645,5
56,3340,6
57,3871,0
57,3135,1
57,6653,2
57,3116,3
57,3175,4
57,3089,5
57,3364,6
58,1055,0
58,3032,1
58,3006,2
58,3087,3
58,3340,6
59,6653,0
59,3070,1
59,2503,2
59,3020,3
59,3916,4
59,3116,5
59,3340,6
60,3871,0
60,6655,1
60,3020,2
60,3070,3
60,3089,4
60,2055,5
60,3364,6
61,3877,0
61,3084,1
61,2055,2
61,3009,3
61,3066,4
61,1029,5
61,3364,6
62,3877,0
62,3742,1
62,3084,2
62,3170,3
62,3076,4
62,3066,5
62,3364,6
63,3877,0
63,3065,1
63,3111,2
63,3076,3
63,3742,4
63,3066,5
63,3364,6
64,3877,0
64,3084,1
64,2422,3
64,3364,6
65,3877,0
65,3170,1
65,3084,2
65,3066,3
65,1033,4
65,1031,5
65,3364,6
66,3871,0
66,2503,1
66,3175,2
66,3089,3
66,6655,4
66,4630,5
66,3364,6
67,1055,0
67,3032,1
67,2031,2
67,1042,3
67,1042,4
67,2422,5
67,3340,6
68,1055,0
68,3032,1
68,3006,2
68,3031,3
68,1036,4
68,3340,6
69,3916,0
69,3116,1
69,3020,2
69,6655,3
69,1082,4
69,6653,5
69,3340,6
70,2420,0
70,4630,1
70,1082,2
70,6655,3
70,3020,4
70,1056,5
70,3340,6
71,1056,0
71,3108,1
71,6655,2
71,3020,3
71,1082,4
71,3108,5
71,3364,6
72,1056,0
72,4628,1
72,1082,2
72,6655,3
72,3020,4
72,1052,5
72,3340,6
73,8020,0
73,1001,1
73,3340,6
74,1056,0
74,6662,1
74,3009,2
74,6664,3
74,3082,4
74,3024,5
74,3340,6
75,3876,0
75,3009,1
75,3084,2
75,3065,3
75,1011,4
75,1011,5
75,3364,6
76,1056,0
76,6655,1
76,3020,2
76,4645,3
76,3089,4
76,3340,6
77,3033,0
77,3153,1
77,3072,2
77,3087,3
77,3172,4
77,3085,5
77,3340,6
78,3031,0
78,3006,1
78,3032,2
78,1055,3
78,3072,4
78,3085,5
78,3340,6
79,3871,0
79,3116,1
79,3020,2
79,6653,3
79,3070,4
79,3916,5
79,3364,6
80,3871,0
80,3116,1
80,3916,2
80,3020,3
80,6653,5
80,3364,6
81,3877,0
81,3170,1
81,3084,2
81,3076,3
81,2055,4
81,1028,5
81,3364,6
82,3876,0
82,2055,1
82,3020,2
82,6653,3
82,3916,4
82,1028,5
82,3364,6
83,3871,0
83,1028,1
83,6653,2
83,1026,3
83,3020,4
83,1052,5
83,3364,6
84,3871,0
84,6653,1
84,3116,2
84,3916,3
84,3020,4
84,4630,5
84,3364,6
85,3871,0
85,3020,1
85,6653,2
85,3070,3
85,2055,4
85,3364,6
86,3871,0
86,2031,1
86,2055,2
86,3020,3
86,1026,4
86,6653,5
86,3364,6
87,3871,0
87,3116,1
87,3020,2
87,6653,3
87,3916,4
87,3135,5
87,3364,6
88,3871,0
88,3116,1
88,3175,2
88,6653,3
88,3165,4
88,3135,5
88,3364,6
89,3871,0
89,3916,1
89,6653,2
89,4630,3
89,3020,4
89,3116,5
89,3364,6
90,3871,0
90,3116,1
90,3020,2
90,6653,3
90,3916,4
90,4630,5
90,3364,6
91,3153,0
91,3009,1
91,3087,2
91,3085,3
91,3033,4
91,3134,5
91,3364,6
92,3871,0
92,6653,1
92,3020,2
92,3116,3
92,3165,4
92,3135,5
92,3364,6
93,3157,0
93,6653,1
93,3020,2
93,3116,3
93,3135,4
93,3165,5
93,3364,6
94,1056,0
94,1036,1
94,3111,2
94,3070,3
94,3078,4
94,2021,5
94,3340,6
95,3871,0
95,1026,1
95,3020,2
95,6653,4
95,3364,6
96,1054,0
96,3078,1
96,3047,2
96,2021,3
96,3340,6
97,3876,0
97,3009,1
97,4401,2
97,3742,3
97,3076,4
