match_key,puuid,summoner_name,riot_id_game_name,riot_id_tag_line,champion_id,champion_name,team_id,team_position,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,vision_score,control_wards_purchased,kill_participation,champion_level,items
1,7Da8Fi16zHg3v4dY9VFux9mi2uS-nzDBY7-PFlpU9EFPdTIkrq6SABP622hSAdkNdVOVCDS3SFBMhA,Im Gonna Slur,I am 4 Eels,,141,Kayn,100,TOP,1,0,2,2,1.0,161,7.24,7441,334.68,6612,297.39,9,0,0.143,13,"[1037, 2031, 6692, 3070, 2021, 3047, 3340]"
1,QqrfdtS-7y550QKmT3z9KdIV3i5Ur_pK0O4MDEWcxK4CeOCwl9zkhKcuuI0FjeN1suV5FAiEwf5r_A,Juukes,Juukes,,32,Amumu,100,JUNGLE,1,3,3,3,2.0,141,6.34,8275,372.19,10568,475.32,15,1,0.429,12,"[8020, 6653, 3111, 0, 0, 0, 3364]"
1,7bwAjoowQ5xrbypNhOJb-peb_obnokAu6SKB8vkQm6NSB9pLq0SdabY7D3NSu6zwpIUMwu39VMmzuQ,Bjergsimpsen,Bjergsimpsen,,800,Mel,100,MIDDLE,1,5,1,1,6.0,195,8.77,9621,432.73,11795,530.51,14,2,0.429,14,"[1056, 3041, 2031, 3040, 3020, 6653, 3363]"
1,ZIW6w5bSLyk4bHGDI-3BtXFb5rTq8AllVkXwhLRpVrQWMrhJmn8PwUDOT3PQqVUGKHoTuDy_h27wxw,Please Dont Slur,CharlesDankwin,,22,Ashe,100,BOTTOM,1,4,2,7,5.5,166,7.47,9531,428.68,19325,869.19,5,0,0.786,12,"[1083, 3031, 3032, 3006, 0, 2003, 3363]"
1,JVSciYSlmbUGH5Hqa6QPdW630ZdSzG5E7wxeNAW80Z6TQzEagWyKlh3vahn2MaTIz-EsQibj1QBDSg,LastSlinger,LastSlinger,,37,Sona,100,UTILITY,1,2,2,8,5.0,8,0.36,6447,289.97,6951,312.64,35,1,0.714,11,"[3171, 3870, 4642, 6620, 1028, 3070, 3364]"
1,UyEbSE_5i0FglrtRZLzm3ABqQZyYXvquf2h1r2N794_HxR3ntfm74au7C55mrdoU6rKOKyW6gVqNig,Borog785,Borog785,,145,Kaisa,200,TOP,0,4,3,2,2.0,176,7.92,9807,441.09,14678,660.18,3,0,0.6,13,"[1055, 2031, 3042, 4628, 6655, 1001, 3340]"
1,ZMf5dD0SNZr9aZxA1-FnZi6xgl2rn-FDM4OlFbVlita9SjE27kcKZpGDu_LUW4g3Qn5TgWgxg6aoig,Comet02946,Comet02946,,799,Ambessa,200,JUNGLE,0,2,4,5,1.75,137,6.16,7619,342.68,8939,402.05,17,0,0.7,12,"[3111, 6692, 2020, 1036, 1036, 0, 3364]"
1,JnLS7kZtRC_EERPsSweTfa0iO6C6PfHRMwg-sa0N1WQwMXXIkNDkqm8KdCtIvK5-Vxk-D1x8MAyRJg,wuiirou,wuiirou,,222,Jinx,200,BOTTOM,0,1,2,1,1.0,163,7.33,6740,303.15,4234,190.43,11,0,0.2,12,"[1055, 3006, 3032, 1038, 0, 0, 3340]"
1,XfV2hFhNZXJ_N1gNii4T24LuKfSKKrcB9l-9Sh9Yh1_JxSIB-mbHTASMsAV3uzHiSOLBarAtBz2T-A,Taiwan GEMINI26,Taiwan GEMINI26,,105,Fizz,200,MIDDLE,0,2,4,4,1.5,144,6.48,7626,343.0,9375,421.66,5,0,0.6,12,"[2031, 1056, 3100, 3041, 3111, 0, 3364]"
1,LOxcL5PsKIzfhzdkrhJmVUodUBIcZ0i175oQ1kjpIOiwiKsTodi9mKsO2y5IyEiM0PzmcN-BJSz4wg,,tankin it easy,,223,TahmKench,200,UTILITY,0,1,1,2,3.0,51,2.29,5483,246.61,4568,205.46,25,2,0.3,11,"[3876, 3084, 3009, 3076, 0, 0, 3340]"
2,v-IKaV0zP5BSXl8TlzKvErU2nZ1oaSVE4WcGegemm77Cr3Mbhgq6ghUnpD6NApNF1rN_45qGutFycg,bloodsecer,bloodsecer,,6,Urgot,100,TOP,0,2,4,5,1.75,155,6.31,8737,355.89,15039,612.59,23,1,0.368,14,"[3071, 3053, 3111, 1033, 0, 0, 3363]"
2,DAXfhhz_KkDVNGXf6RzrY9iG5Uxqw2xYC0f48jb6gBFgjwVReFZ9cbxGAchXA1IkhS7M2ARRybuUlw,3L3SB40,3L3SB40,,28,Evelynn,100,JUNGLE,0,3,4,7,2.5,126,5.13,8138,331.49,11224,457.19,27,2,0.526,13,"[3100, 3020, 1058, 1058, 0, 0, 3364]"
2,DT7w2z5WpVez5wZpte296Or4W1i57fr23bb4GZx3cMjII201vA28aghGyU2HYvPk12a7tksYZJuNgQ,,PESSSSTILENCE,,84,Akali,100,MIDDLE,0,8,4,3,2.75,151,6.15,10340,421.18,14920,607.74,17,0,0.579,14,"[1054, 3020, 4646, 1082, 3102, 1058, 3340]"
2,jP3mwrHyJCll_DVylTrf1oGGMn1o3ZiM0h03uh469Y1clsWMCV-9CABPNHKh7pu14GGLV0LOEZIdfg,TheRaveSpy,Divern,,14,Sion,100,BOTTOM,0,5,2,3,4.0,138,5.62,8756,356.66,8298,338.0,10,0,0.421,14,"[3142, 1054, 6676, 3111, 0, 0, 3340]"
2,-fG6kh9R_52kUhWr6xLjFVFmVTG0hX3nYOUjjlbnCHIPCVPe1iu5ehduNGoA_FuqEoAPZrmhKqIIZA,imlag11,Cone Head,,163,Taliyah,100,UTILITY,0,1,7,7,1.14,33,1.34,6333,257.96,8849,360.45,46,1,0.421,10,"[3871, 3070, 6655, 1001, 3147, 0, 3364]"
2,9tSlZzgK2rtVjWkW-TYdqgRW3WRIgkMPSNWRSnk2m3Lnx7WmtepVU04IeBXpGYN8kHU8IcxwHnnKxw,Rito Hinana,Samurai Cat,,897,KSante,200,TOP,1,5,1,2,7.0,181,7.37,9265,377.39,15350,625.25,16,3,0.333,15,"[1054, 3047, 0, 6662, 2502, 1028, 3364]"
2,qhGHn6zd_ohmu88SthcLLWA7EjVsx1mRqGU_ZPmvpkKp4bOUvnjHzCwZ1AZsfyTCPanog-m82zORUQ,TMB Remix,かじゅある,,887,Gwen,200,JUNGLE,1,3,5,3,1.2,166,6.76,9458,385.25,9220,375.56,25,2,0.286,13,"[3020, 3115, 0, 1082, 4633, 0, 3340]"
2,LOxcL5PsKIzfhzdkrhJmVUodUBIcZ0i175oQ1kjpIOiwiKsTodi9mKsO2y5IyEiM0PzmcN-BJSz4wg,,tankin it easy,,90,Malzahar,200,MIDDLE,1,4,2,3,3.5,191,7.78,9428,384.03,18727,762.81,22,5,0.333,15,"[1056, 6653, 3070, 3020, 3116, 3916, 3340]"
2,mQgj_3D60UnoUWjb-2G5FsmKCyYwYerskF_MtUC31BU0WPlgfjPZBnMwl6u8equI1D-H0rRhWKXPdg,TMB ShadowMoon,TMB Gosh,,15,Sivir,200,BOTTOM,1,5,3,9,4.67,195,7.94,10479,426.84,23219,945.78,25,4,0.667,13,"[1055, 1038, 3009, 6675, 1037, 3508, 3363]"
2,AQrun2S6hcuyXLFIPS-CR1h2wHbZ4XREhItU_UGyi8KO5wW30G5Sxcx78rAhdJHejtMVKz2ChRqHDw,ChuckinNuggets,ChuckinNuggets,,800,Mel,200,UTILITY,1,4,8,8,1.5,37,1.51,7451,303.5,13379,544.97,42,2,0.571,11,"[3871, 6655, 3158, 4629, 0, 0, 3364]"
