date_key,full_date,year,month,day,day_of_week,is_weekend,hour_of_day
1,2025-01-26,2025,1,26,Sunday,1,17
2,2025-01-25,2025,1,25,Saturday,1,20
3,2025-01-24,2025,1,24,Friday,0,17
4,2025-01-23,2025,1,23,Thursday,0,17
5,2025-01-21,2025,1,21,Tuesday,0,17
6,2025-01-20,2025,1,20,Monday,0,18
7,2025-01-18,2025,1,18,Saturday,1,23
8,2025-01-17,2025,1,17,Friday,0,20
9,2025-01-16,2025,1,16,Thursday,0,17
10,2025-01-15,2025,1,15,Wednesday,0,17
11,2025-01-13,2025,1,13,Monday,0,17
12,2025-01-11,2025,1,11,Saturday,1,15
13,2025-01-09,2025,1,9,Thursday,0,17
14,2025-01-08,2025,1,8,Wednesday,0,22
15,2025-01-07,2025,1,7,Tuesday,0,17
16,2025-01-06,2025,1,6,Monday,0,18
17,2025-01-05,2025,1,5,Sunday,1,19
18,2025-02-28,2025,2,28,Friday,0,17
19,2025-02-27,2025,2,27,Thursday,0,17
20,2025-02-22,2025,2,22,Saturday,1,15
21,2025-02-21,2025,2,21,Friday,0,18
22,2025-02-20,2025,2,20,Thursday,0,16
23,2025-02-17,2025,2,17,Monday,0,14
24,2025-02-16,2025,2,16,Sunday,1,20
25,2025-02-15,2025,2,15,Saturday,1,22
26,2025-03-09,2025,3,9,Sunday,1,13
27,2025-03-02,2025,3,2,Sunday,1,16
28,2025-03-01,2025,3,1,Saturday,1,23
29,2025-06-14,2025,6,14,Saturday,1,17
30,2025-07-12,2025,7,12,Saturday,1,18
31,2025-07-11,2025,7,11,Friday,0,17
32,2025-07-07,2025,7,7,Monday,0,15
33,2025-07-06,2025,7,6,Sunday,1,22
34,2025-08-30,2025,8,30,Saturday,1,15
35,2025-09-27,2025,9,27,Saturday,1,23
36,2025-09-22,2025,9,22,Monday,0,18
37,2025-09-21,2025,9,21,Sunday,1,16
38,2025-09-20,2025,9,20,Saturday,1,20
39,2025-09-19,2025,9,19,Friday,0,21
40,2025-09-15,2025,9,15,Monday,0,11
41,2025-10-13,2025,10,13,Monday,0,16
42,2025-10-12,2025,10,12,Sunday,1,21
43,2025-10-06,2025,10,6,Monday,0,17
44,2025-10-05,2025,10,5,Sunday,1,18
