match_key,champion_key,date_key,queue_key,rune_key,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,damage_taken,vision_score,wards_placed,wards_killed,control_wards_purchased,kill_participation,double_kills,triple_kills,quadra_kills,penta_kills,game_duration_minutes
1,1,1,1,1,0,1,1,2,3.0,51,2.29,5483,246.61,4568,205.46,15430,25,15,2,2,0.3,0,0,0,0,22.23
2,2,2,1,2,1,4,2,3,3.5,191,7.78,9428,384.03,18727,762.81,10116,22,12,1,5,0.333,0,0,0,0,24.55
3,3,2,1,3,0,0,8,1,0.12,120,4.68,7001,273.3,9070,354.07,19380,14,8,0,2,0.143,0,0,0,0,25.62
4,4,2,1,4,0,0,0,0,0.0,0,0.0,517,287.22,0,0.0,0,0,0,0,0,0,0,0,0,0,1.8
5,5,2,1,5,0,4,8,11,1.88,208,5.53,12459,331.36,17470,464.63,31754,39,17,2,4,0.312,0,0,0,0,37.6
6,1,3,1,6,0,0,7,7,1.0,30,1.1,6596,241.02,8890,324.85,28104,49,31,2,5,0.467,0,0,0,0,27.37
7,1,3,1,7,0,4,3,15,6.33,62,1.61,11087,287.35,13553,351.27,42379,97,49,8,9,0.432,0,0,0,0,38.58
8,1,4,1,8,0,1,5,0,0.2,40,2.01,5265,264.13,7282,365.32,17912,30,15,5,5,0.111,0,0,0,0,19.93
9,6,4,1,9,1,1,8,15,2.0,54,1.99,8292,306.17,10734,396.33,23352,41,21,4,6,0.348,0,0,0,0,27.08
10,7,4,1,10,1,2,1,2,4.0,48,2.22,5769,266.67,5682,262.65,11230,26,20,1,1,0.222,0,0,0,0,21.63
11,7,4,1,11,1,0,2,21,10.5,40,1.39,8970,312.73,16460,573.85,23096,50,25,1,4,0.389,0,0,0,0,28.68
12,7,4,1,12,1,2,11,12,1.27,71,1.79,11531,290.33,12399,312.19,33714,94,40,11,4,0.292,0,0,0,0,39.72
